date,product,category,sales_amount,quantity,customer_age,region,payment_method
2024-01-15,Smartphone,Electronics,899.99,1,28,Moscow,Credit Card
2024-01-15,Laptop,Electronics,1299.99,1,34,Saint Petersburg,Bank Transfer
2024-01-15,Coffee Maker,Appliances,79.99,2,45,Kazan,Cash
2024-01-16,Headphones,Electronics,199.99,3,23,Moscow,Credit Card
2024-01-16,Book,Media,24.99,5,55,Novosibirsk,Credit Card
2024-01-16,Smartphone,Electronics,899.99,1,31,Ekaterinburg,Credit Card
2024-01-17,Gaming Console,Electronics,499.99,1,19,Moscow,Credit Card
2024-01-17,Tablet,Electronics,349.99,2,42,Saint Petersburg,Bank Transfer
2024-01-17,Coffee Maker,Appliances,79.99,1,38,Sochi,Cash
2024-01-18,Laptop,Electronics,1299.99,1,29,Moscow,Credit Card
2024-01-18,Book,Media,24.99,3,67,Kazan,Cash
2024-01-18,Headphones,Electronics,199.99,1,26,Novosibirsk,Credit Card
2024-01-19,Smartphone,Electronics,899.99,2,33,Ekaterinburg,Bank Transfer
2024-01-19,Gaming Console,Electronics,499.99,1,21,Moscow,Credit Card
2024-01-19,Coffee Maker,Appliances,79.99,1,48,Saint Petersburg,Cash
2024-01-20,Tablet,Electronics,349.99,1,36,Sochi,Credit Card
2024-01-20,Book,Media,24.99,2,29,Moscow,Credit Card
2024-01-20,Laptop,Electronics,1299.99,1,41,Kazan,Bank Transfer
2024-01-21,Headphones,Electronics,199.99,4,25,Novosibirsk,Credit Card
2024-01-21,Smartphone,Electronics,899.99,1,52,Ekaterinburg,Cash
2024-01-22,Gaming Console,Electronics,499.99,1,24,Moscow,Credit Card
2024-01-22,Coffee Maker,Appliances,79.99,3,44,Saint Petersburg,Cash
2024-01-22,Tablet,Electronics,349.99,1,37,Sochi,Credit Card
2024-01-23,Book,Media,24.99,1,61,Kazan,Cash
2024-01-23,Laptop,Electronics,1299.99,1,35,Moscow,Credit Card
2024-01-24,Headphones,Electronics,199.99,2,28,Novosibirsk,Credit Card
2024-01-24,Smartphone,Electronics,899.99,1,46,Ekaterinburg,Bank Transfer
2024-01-24,Gaming Console,Electronics,499.99,1,20,Saint Petersburg,Credit Card
